department_id,listing_id,condition_id
general_store_seeds,grass_starter,is_not_winter
general_store_seeds,turnip_seeds,is_spring
general_store_seeds,potato_seeds,is_spring
general_store_seeds,cucumber_seeds,is_spring
general_store_seeds,cucumber_seeds,year_two
general_store_seeds,strawberry_seeds,is_spring
general_store_seeds,strawberry_seeds,year_three
general_store_seeds,cabbage_seeds,is_spring
general_store_seeds,cabbage_seeds,spring_1000
general_store_seeds,onion_seeds,is_summer
general_store_seeds,pumpkin_seeds,is_summer
general_store_seeds,melon_seeds,is_summer
general_store_seeds,melon_seeds,has_community
general_store_seeds,tomato_seeds,is_summer
general_store_seeds,tomato_seeds,year_two
general_store_seeds,corn_seeds,is_summer
general_store_seeds,corn_seeds,year_three
general_store_seeds,pineapple_seeds,is_summer
general_store_seeds,pineapple_seeds,summer_1000
general_store_seeds,spinach_seeds,is_autumn
general_store_seeds,carrot_seeds,is_autumn
general_store_seeds,beetroot_seeds,is_autumn
general_store_seeds,beetroot_seeds,has_community
general_store_seeds,eggplant_seeds,is_autumn
general_store_seeds,eggplant_seeds,year_two
general_store_seeds,green_pepper_seeds,is_autumn
general_store_seeds,green_pepper_seeds,year_three
general_store_seeds,sweet_potato_seeds,is_autumn
general_store_seeds,sweet_potato_seeds,autumn_1000
general_store_seeds,grapes_starter,is_autumn
general_store_seeds,wheat_seeds,is_not_winter
general_store_seeds,banana_sapling,year_two
general_store_seeds,peach_sapling,year_two
general_store_seeds,quality_fertilizer,year_two
general_store_seeds,turbo_fertlizer,year_two
general_store_general,blue_feather,can_propose
